residential_status,loan_rate,loan_amount,loan_purpose,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months,loan_approval_status
Renter,9.45,813587859.3750001,Business,0.0,10,31,40000,Very Good,No,0.13,C,122.0,Approved
Renter,7.9,24000.0,Debt Consolidation,9.0,3,26,62004,Excellent,No,0.39,C,40.0,Declined
Renter,7.49,497724337.50000006,Home Improvement,16.0,8,32,95000,Excellent,No,0.04,C,104.0,Approved
Renter,11.14,7200.0,Business,0.0,2,26,60000,Very Good,No,0.12,C,,Approved
Mortgage,10.99,10000.0,Home Improvement,13.0,10,30,138000,Very Good,No,0.07,B,126.0,Declined
Mortgage,7.9,10000.0,Health,1.0,3,23,62000,Excellent,No,0.16,B,37.0,Approved
Renter,11.14,8500.0,Health,0.0,3,25,28500,Very Good,No,0.3,C,43.0,Approved
Mortgage,6.03,12000.0,Debt Consolidation,8.0,4,24,99000,Excellent,No,0.12,B,50.0,Approved
Mortgage,14.61,20000.0,Personal,2.0,11,41,115000,Fair,,0.17,B,139.0,Approved
Mortgage,11.48,6000.0,Study,7.0,4,23,65000,Very Good,No,0.09,B,59.0,Approved
Renter,10.59,9000.0,Debt Consolidation,7.0,4,23,83000,Very Good,No,0.11,C,52.0,Approved
Renter,11.71,7200.0,Debt Consolidation,3.0,17,44,29088,Very Good,No,0.25,C,211.0,Approved
Renter,9.63,7200.0,Health,1.0,11,37,45000,Excellent,No,0.16,C,,Approved
Mortgage,15.96,9600.0,Business,9.0,2,24,47000,Good,No,0.2,B,27.0,Approved
Owner,15.27,1301740575.0,Business,2.0,2,22,108000,Good,Yes,0.07,A,31.0,Approved
Mortgage,6.62,12250.0,Business,7.0,6,29,52833,Excellent,No,0.23,B,80.0,Approved
Owner,14.61,10000.0,Debt Consolidation,4.0,2,25,30000,Fair,Yes,0.33,A,31.0,Approved
Mortgage,,11600.0,Debt Consolidation,5.0,4,25,63000,Excellent,No,0.18,B,49.0,Approved
Renter,,4800.0,Debt Consolidation,4.0,4,26,95000,Excellent,No,0.05,C,54.0,Approved
Mortgage,10.59,7500.0,Study,6.0,3,22,54500,Very Good,No,0.14,B,46.0,Approved
Renter,6.62,5200.0,Study,2.0,17,39,40000,Excellent,No,0.13,C,209.0,Approved
Mortgage,10.37,6000.0,Study,6.0,3,22,66996,Very Good,No,0.09,B,46.0,Approved
Mortgage,14.96,25000.0,Debt Consolidation,5.0,9,33,118000,Fair,Yes,0.21,B,,Declined
Renter,12.69,10000.0,Home Improvement,1.0,8,32,64000,Very Good,No,0.16,C,,Approved
Mortgage,10.74,21000.0,Health,3.0,7,28,90000,Very Good,,0.23,B,94.0,Approved
Owner,7.49,9000.0,Home Improvement,8.0,4,24,72000,Excellent,No,0.13,A,56.0,Approved
Mortgage,6.62,17450.0,Business,7.0,3,23,57188,Excellent,No,0.31,B,47.0,Approved
Renter,7.4,4800.0,Home Improvement,0.0,8,30,120000,Excellent,No,0.04,C,104.0,Approved
Owner,15.99,7800.0,Home Improvement,,10,27,50000,Fair,No,0.16,A,121.0,Approved
Mortgage,6.99,5000.0,Home Improvement,2.0,4,24,80000,Excellent,No,0.06,B,55.0,Approved
Renter,11.12,15000.0,Business,6.0,5,31,60000,Very Good,No,0.25,C,65.0,Approved
Renter,7.88,3000.0,Health,4.0,2,21,8004,Excellent,No,0.37,C,34.0,Declined
Mortgage,6.92,5000.0,Business,7.0,10,31,72000,Excellent,No,0.07,B,126.0,Approved
Renter,15.7,25000.0,Home Improvement,7.0,2,24,110000,Fair,Yes,0.23,C,,Approved
Mortgage,11.89,15000.0,Home Improvement,12.0,9,28,150000,Very Good,No,0.1,B,109.0,Approved
Renter,13.11,24000.0,Debt Consolidation,1.0,6,30,105400,Good,Yes,0.23,C,76.0,Approved
Renter,13.49,4200.0,Business,1.0,14,37,43000,Good,Yes,0.1,C,171.0,Approved
Renter,15.27,10000.0,Business,5.0,7,27,44000,Good,Yes,0.23,C,93.0,Declined
Mortgage,18.78,25000.0,Personal,7.0,4,23,95000,Very Poor,No,0.26,B,58.0,Approved
Renter,10.38,5000.0,Business,3.0,3,24,48200,Very Good,No,0.1,C,41.0,Approved
Renter,8.49,10000.0,Debt Consolidation,0.0,7,28,38000,Excellent,No,0.26,C,85.0,Approved
Mortgage,7.68,3600.0,Business,3.0,9,31,60000,Excellent,No,0.06,B,117.0,Approved
Renter,,5500.0,Personal,1.0,2,25,33280,Very Good,No,0.17,C,29.0,Approved
Renter,8.9,18000.0,Study,5.0,9,34,78000,Excellent,No,0.23,C,118.0,Approved
Owner,10.38,8000.0,Personal,5.0,17,39,42000,Very Good,No,0.19,A,206.0,Approved
Renter,7.4,1000.0,Study,5.0,3,24,45000,Excellent,,0.02,C,46.0,Approved
Renter,10.25,20000.0,Personal,2.0,16,37,65000,Very Good,No,0.31,C,193.0,Declined
Mortgage,9.99,6000.0,Home Improvement,5.0,7,27,46800,Very Good,No,0.13,B,86.0,Approved
Mortgage,5.99,6000.0,Debt Consolidation,8.0,11,38,72000,Excellent,No,0.08,B,141.0,Approved
Mortgage,5.79,9125.0,Health,0.0,3,22,45000,Excellent,No,0.2,B,45.0,Approved
Renter,10.99,18500.0,Debt Consolidation,4.0,5,27,60000,Very Good,No,0.31,C,,Declined
Mortgage,7.49,1550.0,Debt Consolidation,5.0,2,23,22000,Excellent,,0.07,B,31.0,Declined
Mortgage,7.14,5500.0,Debt Consolidation,6.0,3,23,64000,Excellent,No,0.09,B,42.0,Approved
Renter,,8500.0,Health,2.0,5,28,76000,Very Good,No,0.11,C,,Approved
Renter,14.84,20000.0,Business,2.0,6,32,81400,Fair,Yes,0.25,C,,Declined
Renter,8.0,3500.0,Business,4.0,2,23,48562,Excellent,,0.07,C,29.0,Approved
Renter,5.99,10000.0,Study,3.0,3,24,36000,Excellent,No,0.28,C,38.0,Approved
Mortgage,7.88,13000.0,Personal,3.0,9,32,70400,Excellent,No,0.18,B,112.0,Approved
Mortgage,15.23,3000.0,Study,8.0,5,31,53000,Good,No,0.06,B,,Approved
Renter,14.91,9600.0,Home Improvement,1.0,7,31,113000,Fair,,0.08,C,,Declined
Renter,7.51,5000.0,Business,0.0,7,33,58000,Excellent,No,0.09,C,93.0,Approved
Mortgage,7.74,9000.0,Business,3.0,8,32,42000,Excellent,No,0.21,B,100.0,Approved
Renter,7.14,9000.0,Business,5.0,2,24,37000,Excellent,No,0.24,C,28.0,Approved
Mortgage,15.99,1000.0,Home Improvement,0.0,3,23,27000,Fair,Yes,0.04,B,39.0,Declined
Renter,,2100.0,Health,6.0,7,32,51996,Good,Yes,0.04,C,93.0,Approved
Mortgage,16.07,17000.0,Home Improvement,1.0,9,33,60000,Fair,No,0.28,B,109.0,Approved
Mortgage,7.74,4000.0,Study,9.0,7,30,28500,Excellent,No,0.14,B,92.0,Approved
Renter,10.99,9000.0,Health,5.0,2,22,28800,Very Good,No,0.31,C,31.0,Declined
Mortgage,18.25,35000.0,Personal,5.0,4,26,130000,Fair,Yes,0.27,B,50.0,Approved
Owner,11.71,2000.0,Study,8.0,3,24,34500,Very Good,No,0.06,A,43.0,Approved
Owner,10.25,15000.0,Personal,1.0,3,22,72000,Very Good,No,0.21,A,39.0,Approved
Owner,6.39,2000.0,Personal,7.0,3,23,16000,Excellent,No,0.13,A,43.0,Approved
Renter,,17000.0,Study,6.0,9,30,55000,Very Good,No,0.31,C,111.0,Declined
Mortgage,11.58,10000.0,Personal,4.0,11,46,29004,Very Good,No,0.34,B,143.0,Approved
Renter,13.85,24250.0,Debt Consolidation,2.0,3,25,306000,Good,No,0.08,C,37.0,Approved
Mortgage,8.88,22000.0,Debt Consolidation,11.0,12,37,90000,Very Good,No,0.24,B,153.0,Approved
Mortgage,9.62,7000.0,Study,4.0,3,26,60000,Very Good,No,0.12,B,39.0,Approved
Renter,6.03,6625.0,Study,7.0,3,23,16800,Excellent,No,0.39,C,41.0,Declined
Mortgage,15.99,15000.0,Home Improvement,2.0,9,34,85000,Fair,Yes,0.18,B,118.0,Approved
Owner,13.16,9250.0,Health,3.0,3,23,52000,Good,No,0.18,A,43.0,Approved
Renter,12.84,7600.0,Health,3.0,3,25,39000,Good,No,0.19,C,45.0,Declined
Renter,14.11,6700.0,Personal,2.0,4,22,36050,Fair,Yes,0.19,C,55.0,Declined
Renter,12.69,6000.0,Home Improvement,1.0,10,28,112000,Very Good,No,0.05,C,125.0,Approved
Renter,,10000.0,Debt Consolidation,7.0,2,23,27996,Excellent,No,0.36,C,34.0,Declined
Renter,9.45,1000.0,Personal,0.0,17,38,61000,Very Good,,0.02,C,215.0,Approved
Mortgage,12.99,1800.0,Debt Consolidation,3.0,3,23,42000,Good,Yes,0.04,B,38.0,Declined
Renter,11.48,20000.0,Business,0.0,3,26,277104,Very Good,No,0.07,C,44.0,Approved
Renter,11.89,4500.0,Study,3.0,25,52,50000,Very Good,,0.09,C,305.0,Approved
Owner,13.98,10000.0,Business,5.0,3,26,64999,Good,Yes,0.15,A,43.0,Approved
Renter,12.98,7000.0,Home Improvement,4.0,5,33,97000,Good,No,0.07,C,65.0,Approved
Mortgage,14.35,10000.0,Health,3.0,8,32,52000,Good,Yes,0.19,B,106.0,Approved
Renter,10.99,4000.0,Study,5.0,10,28,20000,Very Good,No,0.2,C,130.0,Approved
Renter,15.23,4000.0,Debt Consolidation,8.0,8,28,27600,Good,No,0.14,C,97.0,Approved
Renter,14.74,10000.0,Personal,4.0,9,28,34000,Fair,No,0.29,C,115.0,Approved
Mortgage,7.9,10000.0,Personal,12.0,10,32,180000,Excellent,,0.06,B,122.0,Approved
Mortgage,10.75,5100.0,Debt Consolidation,15.0,8,31,60000,Very Good,No,0.09,B,104.0,Approved
Mortgage,11.72,3000.0,Business,12.0,10,28,55200,Good,No,0.05,B,131.0,Approved
Mortgage,7.49,5000.0,Health,1.0,3,23,46500,Excellent,No,0.11,B,44.0,Declined
Owner,9.33,8800.0,Study,0.0,3,21,25000,Very Good,No,0.35,A,39.0,Approved
Mortgage,12.68,12000.0,Debt Consolidation,4.0,10,32,79872,Good,No,0.15,B,121.0,Approved
Renter,9.63,6000.0,Health,0.0,4,23,28000,Excellent,No,0.21,C,50.0,Approved
Mortgage,6.62,12000.0,Health,13.0,6,33,56000,Excellent,No,0.21,B,82.0,Approved
Owner,11.49,8000.0,Business,7.0,9,28,70000,Very Good,No,0.11,A,109.0,Approved
Renter,11.49,8000.0,Health,7.0,2,24,31200,Very Good,No,0.26,C,31.0,Approved
Renter,16.77,5600.0,Personal,9.0,3,25,40800,Fair,No,0.14,C,46.0,Approved
Renter,7.9,8000.0,Business,2.0,7,31,78000,Excellent,No,0.1,C,85.0,Approved
Mortgage,7.88,6000.0,Home Improvement,1.0,10,33,80000,Excellent,No,0.07,B,125.0,Approved
Mortgage,7.66,9000.0,Business,11.0,6,27,65000,Excellent,No,0.14,B,81.0,Approved
Renter,10.99,2000.0,Business,0.0,5,27,50000,Very Good,No,0.04,C,66.0,Approved
Renter,10.74,6500.0,Home Improvement,6.0,9,29,75000,Very Good,No,0.09,C,,Approved
Renter,12.53,12000.0,Debt Consolidation,9.0,15,41,55000,Very Good,No,0.22,C,191.0,Approved
Renter,12.84,6000.0,Study,10.0,9,27,31500,Good,No,0.19,C,110.0,Declined
Renter,11.14,10000.0,Health,1.0,2,21,30000,Very Good,No,0.33,C,29.0,Declined
Renter,9.38,7200.0,Personal,3.0,4,21,45000,Excellent,No,0.16,C,50.0,Approved
Renter,10.64,15000.0,Home Improvement,11.0,6,27,75127,Very Good,No,0.2,C,78.0,Approved
Renter,12.42,4000.0,Health,3.0,3,25,23400,Very Good,No,0.17,C,41.0,Approved
Mortgage,5.42,7200.0,Home Improvement,10.0,2,26,54000,Excellent,No,0.13,B,32.0,Approved
Renter,13.49,11000.0,Home Improvement,6.0,12,38,108000,Good,No,0.1,C,152.0,Approved
Renter,,4000.0,Debt Consolidation,2.0,11,50,19200,Very Poor,,0.21,C,136.0,Declined
Renter,16.0,15200.0,Business,9.0,3,25,39000,Fair,No,0.39,C,47.0,Declined
Owner,15.33,12500.0,Health,5.0,3,23,75000,Fair,Yes,0.17,A,40.0,Approved
Mortgage,6.62,7200.0,Home Improvement,7.0,7,35,82008,Excellent,No,0.09,B,89.0,Approved
Mortgage,7.43,7000.0,Personal,10.0,4,26,33000,Excellent,No,0.21,B,53.0,Approved
Mortgage,8.9,16000.0,Business,4.0,8,31,50000,Excellent,No,0.32,B,100.0,Approved
Renter,16.29,8000.0,Business,5.0,3,21,44000,Fair,No,0.18,C,42.0,Declined
Mortgage,13.06,6400.0,Business,6.0,4,22,112774,Good,,0.06,B,59.0,Approved
Mortgage,8.49,10000.0,Study,2.0,8,28,39912,Excellent,No,0.25,B,102.0,Declined
Renter,,10000.0,Study,7.0,2,22,62322,Very Good,No,0.16,C,33.0,Approved
Renter,6.62,909304078.1250001,Debt Consolidation,4.0,2,23,24000,Excellent,No,0.21,C,28.0,Approved
Renter,13.49,2600.0,Debt Consolidation,0.0,8,28,32000,Good,No,0.08,C,104.0,Approved
Renter,14.84,8400.0,Personal,2.0,2,23,61000,Fair,No,0.14,C,33.0,Declined
Renter,12.22,3000.0,Home Improvement,6.0,4,26,60996,Good,Yes,0.05,C,59.0,Approved
Renter,9.62,12500.0,Debt Consolidation,1.0,4,24,110000,Very Good,,0.11,C,52.0,Approved
Renter,6.76,4000.0,Study,0.0,9,31,24000,Excellent,,0.17,C,110.0,Approved
Renter,10.38,10000.0,Business,7.0,5,28,30000,Very Good,No,0.33,C,,Declined
Renter,8.94,7000.0,Debt Consolidation,2.0,3,25,40000,Excellent,No,0.17,C,37.0,Approved
Mortgage,11.12,1500.0,Study,7.0,2,23,83000,Very Good,No,0.02,B,31.0,Approved
Renter,11.22,20000.0,Personal,9.0,4,25,38556,Good,Yes,0.52,C,56.0,Declined
Renter,6.91,5500.0,Business,3.0,8,27,20400,Excellent,No,0.27,C,104.0,Approved
Renter,9.32,8000.0,Personal,0.0,4,22,30000,Excellent,No,0.27,C,52.0,Approved
Owner,,9000.0,Health,6.0,16,36,55000,Good,No,0.16,A,201.0,Approved
Renter,7.49,10000.0,Business,5.0,2,25,29000,Excellent,No,0.34,C,34.0,Declined
Renter,13.22,20000.0,Debt Consolidation,9.0,5,30,106000,Good,Yes,0.19,C,71.0,Approved
Mortgage,14.59,24250.0,Debt Consolidation,7.0,2,23,143000,Fair,Yes,0.17,B,25.0,Declined
Mortgage,,8000.0,Study,8.0,3,25,60000,Good,,0.13,B,42.0,Approved
Renter,13.99,9000.0,Debt Consolidation,3.0,8,32,48000,Good,No,0.19,C,107.0,Approved
Mortgage,7.49,10200.0,Home Improvement,3.0,14,40,125000,Excellent,No,0.08,B,171.0,Approved
Renter,7.51,4000.0,Study,4.0,3,25,35000,Excellent,No,0.11,C,,Approved
Mortgage,7.51,18200.0,Health,2.0,4,22,61000,Excellent,No,0.3,B,59.0,Approved
Renter,14.26,6000.0,Business,0.0,5,32,40500,Good,Yes,0.15,C,68.0,Approved
Mortgage,5.42,10250.0,Debt Consolidation,9.0,4,25,80000,Excellent,No,0.13,B,49.0,Approved
Mortgage,9.62,9250.0,Study,4.0,3,23,44500,Very Good,No,0.21,B,39.0,Approved
Renter,19.82,6200.0,Health,1.0,3,23,19200,Extremely Poor,No,0.32,C,42.0,Declined
Renter,14.42,15000.0,Business,9.0,3,24,90000,Fair,Yes,0.17,C,,Approved
Renter,,2400.0,Health,5.0,6,29,45000,Good,No,0.05,C,74.0,Approved
Renter,13.57,9600.0,Health,3.0,7,35,28080,Good,Yes,0.34,C,88.0,Declined
Mortgage,7.51,2500.0,Study,3.0,4,22,50000,Excellent,,0.05,B,58.0,Approved
Mortgage,14.96,25000.0,Debt Consolidation,2.0,9,27,47000,Fair,Yes,0.53,B,113.0,Declined
Mortgage,14.79,4000.0,Debt Consolidation,,2,23,33600,Good,No,0.12,B,27.0,Approved
Renter,10.36,10000.0,Home Improvement,0.0,7,30,50000,Very Good,No,0.2,C,88.0,Approved
Renter,,5000.0,Business,6.0,2,22,48000,Very Good,No,0.1,C,29.0,Approved
Renter,11.58,12000.0,Business,1.0,3,24,70000,Very Good,No,0.17,C,45.0,Approved
Renter,10.99,6000.0,Health,0.0,2,26,95000,Very Good,No,0.06,C,,Approved
Renter,12.69,7500.0,Business,7.0,2,23,40000,Very Good,No,0.19,C,27.0,Approved
Owner,,12000.0,Business,5.0,4,23,24000,Excellent,,0.5,A,56.0,Approved
Mortgage,20.89,7200.0,Study,0.0,2,23,76800,Very Poor,No,0.09,B,31.0,Declined
Owner,7.9,8000.0,Business,1.0,5,31,68000,Excellent,No,0.12,A,66.0,Approved
Mortgage,11.49,4000.0,Personal,,3,24,47100,Very Good,No,0.08,B,45.0,Approved
Mortgage,,12000.0,Debt Consolidation,4.0,5,28,114000,Excellent,,0.11,B,71.0,Approved
Renter,14.84,9900.0,Health,3.0,13,36,55200,Fair,Yes,0.18,C,164.0,Declined
Mortgage,8.9,2600.0,Business,3.0,4,26,175000,Excellent,No,0.01,B,52.0,Approved
Mortgage,10.74,12000.0,Personal,0.0,8,30,110000,Very Good,No,0.11,B,104.0,Approved
Renter,6.92,10000.0,Study,2.0,2,22,37200,Excellent,No,0.27,C,35.0,Approved
Renter,18.39,2400.0,Study,7.0,13,36,38568,Poor,Yes,0.06,C,160.0,Approved
Renter,11.34,7000.0,Study,2.0,2,24,40000,Good,No,0.17,C,29.0,Approved
Renter,16.63,25000.0,Debt Consolidation,14.0,7,32,106000,Poor,Yes,0.24,C,91.0,Declined
Renter,11.26,12250.0,Personal,0.0,7,27,27996,Very Good,No,0.44,C,88.0,Declined
Renter,7.49,8000.0,Study,13.0,5,29,70000,Excellent,No,0.11,C,68.0,Approved
Owner,12.69,6000.0,Business,5.0,7,29,75000,Very Good,No,0.08,A,91.0,Approved
Renter,15.96,3700.0,Personal,1.0,8,28,40000,Good,No,0.09,C,102.0,Approved
Owner,14.11,12000.0,Home Improvement,0.0,12,47,92000,Fair,No,0.13,A,153.0,Approved
Renter,14.59,13000.0,Study,5.0,10,27,46000,Fair,Yes,0.28,C,129.0,Approved
Mortgage,17.58,22000.0,Personal,9.0,6,27,72000,Fair,Yes,0.31,B,80.0,Approved
Mortgage,12.98,12000.0,Debt Consolidation,4.0,6,33,90000,Good,No,0.13,B,74.0,Approved
Renter,14.59,5000.0,Health,6.0,4,22,52880,Fair,No,0.09,C,54.0,Declined
Mortgage,12.18,4750.0,Business,13.0,7,30,137057,Very Good,No,0.03,B,92.0,Approved
Renter,9.63,22000.0,Study,6.0,3,22,57000,Very Good,No,0.39,C,46.0,Declined
Renter,7.49,5850.0,Business,4.0,3,24,60000,Excellent,No,0.1,C,39.0,Approved
Owner,,8000.0,Study,1.0,17,47,30000,Good,No,0.27,A,212.0,Approved
Renter,10.99,12000.0,Business,4.0,5,35,120000,Very Good,No,0.1,C,71.0,Approved
Renter,10.0,4000.0,Business,1.0,15,45,19200,Very Good,No,0.21,C,190.0,Declined
Owner,17.74,14000.0,Home Improvement,6.0,17,38,95000,Poor,,0.15,A,212.0,Approved
Renter,11.71,10000.0,Health,5.0,4,22,48132,Very Good,No,0.21,C,57.0,Approved
Mortgage,8.88,15000.0,Health,5.0,12,43,43000,Very Good,No,0.35,B,146.0,Approved
Renter,7.51,5000.0,Home Improvement,4.0,5,33,82150,Excellent,No,0.06,C,71.0,Approved
Renter,7.9,5600.0,Health,3.0,3,25,70000,Excellent,No,0.08,C,42.0,Approved
Mortgage,8.49,5000.0,Health,11.0,4,26,105000,Excellent,No,0.05,B,56.0,Approved
Renter,,1722891937.5000002,Debt Consolidation,3.0,7,28,62500,Excellent,No,0.19,C,89.0,Approved
Owner,10.59,2400.0,Business,0.0,3,22,19200,Very Good,No,0.13,A,42.0,Approved
Renter,16.82,25000.0,Home Improvement,3.0,4,25,54000,Poor,No,0.46,C,54.0,Declined
Mortgage,13.99,3000.0,Study,6.0,2,25,51000,Good,No,0.06,B,31.0,Approved
Mortgage,7.51,9600.0,Health,4.0,10,28,60000,Excellent,No,0.16,B,128.0,Approved
Renter,13.49,12000.0,Health,0.0,2,25,48000,Good,Yes,0.25,C,30.0,Approved
Mortgage,14.96,1300.0,Study,5.0,2,21,46500,Fair,No,0.03,B,31.0,Approved
Mortgage,12.73,16000.0,Personal,3.0,4,22,105000,Good,Yes,0.15,B,49.0,Approved
Mortgage,13.99,5000.0,Study,5.0,2,23,48000,Good,Yes,0.1,B,35.0,Approved
Mortgage,7.66,25000.0,Debt Consolidation,11.0,5,27,70000,Excellent,No,0.36,B,64.0,Approved
Renter,6.03,8000.0,Personal,0.0,5,27,67200,Excellent,No,0.12,C,69.0,Approved
Renter,14.96,8000.0,Business,2.0,2,24,36000,Fair,Yes,0.22,C,35.0,Declined
Renter,7.49,2800.0,Health,4.0,5,27,48000,Excellent,No,0.06,C,61.0,Approved
Mortgage,7.88,5000.0,Personal,9.0,4,24,60000,Excellent,,0.08,B,52.0,Approved
Renter,13.23,6500.0,Business,6.0,3,23,70000,Good,No,0.09,C,42.0,Approved
Renter,14.61,2000.0,Home Improvement,1.0,2,24,24000,Fair,Yes,0.08,C,34.0,Declined
Renter,6.62,2500.0,Home Improvement,,9,29,15889,Excellent,No,0.16,C,110.0,Declined
Renter,12.53,13000.0,Debt Consolidation,9.0,7,29,84000,Good,Yes,0.15,C,95.0,Approved
Unknown,11.14,15850.0,Business,15.0,5,30,78411,Very Good,No,0.2,D,70.0,Approved
Owner,7.14,4750.0,Debt Consolidation,6.0,2,22,12000,Excellent,No,0.4,A,34.0,Declined
Mortgage,12.18,15000.0,Study,9.0,16,36,75000,Very Good,No,0.2,B,195.0,Approved
Mortgage,8.9,4000.0,Business,3.0,2,23,62000,Excellent,No,0.06,B,35.0,Approved
Mortgage,16.32,8500.0,Personal,14.0,9,30,49000,Fair,Yes,0.17,B,113.0,Approved
Mortgage,10.74,10000.0,Home Improvement,6.0,2,24,62000,Very Good,No,0.16,B,,Approved
Mortgage,16.77,4000.0,Debt Consolidation,6.0,9,31,39000,Fair,Yes,0.1,B,111.0,Declined
Mortgage,,10000.0,Business,6.0,2,22,125000,Very Good,No,0.08,B,29.0,Approved
Owner,12.98,15250.0,Health,,10,28,36000,Good,Yes,0.42,A,123.0,Approved
Mortgage,16.29,13650.0,Business,2.0,9,27,51600,Fair,No,0.26,B,113.0,Declined
Renter,12.17,3975.0,Home Improvement,10.0,5,29,27000,Fair,No,0.15,C,70.0,Declined
Renter,11.71,10000.0,Business,7.0,4,23,92000,Very Good,No,0.11,C,51.0,Approved
Mortgage,12.68,3200.0,Study,0.0,2,23,37344,Good,Yes,0.09,B,34.0,Approved
Owner,7.88,14000.0,Business,5.0,3,21,118000,Excellent,No,0.12,A,41.0,Approved
Renter,8.49,3300.0,Business,2.0,3,22,28956,Excellent,No,0.11,C,47.0,Approved
Mortgage,6.03,8000.0,Health,13.0,9,29,64320,Excellent,No,0.12,B,111.0,Approved
Renter,7.42,6000.0,Study,2.0,3,22,53819,Excellent,No,0.11,C,38.0,Approved
Renter,6.99,5000.0,Study,8.0,3,24,21648,Excellent,No,0.23,C,38.0,Approved
Owner,12.42,16000.0,Study,,2,24,72000,Very Good,No,0.22,A,31.0,Approved
Renter,13.49,10000.0,Debt Consolidation,15.0,12,46,30000,Good,No,0.33,C,151.0,Declined
Mortgage,6.99,8000.0,Health,3.0,4,25,70000,Excellent,,0.11,B,57.0,Approved
Mortgage,14.11,25000.0,Debt Consolidation,3.0,2,23,104736,Fair,Yes,0.24,B,30.0,Declined
Renter,9.63,5000.0,Personal,10.0,6,34,53995,Very Good,No,0.09,C,77.0,Approved
Mortgage,12.87,16000.0,Personal,13.0,10,29,65000,Good,Yes,0.25,B,124.0,Approved
Mortgage,,8400.0,Business,3.0,4,21,86000,Excellent,No,0.1,B,54.0,Approved
Mortgage,14.54,10000.0,Health,3.0,3,26,74800,Fair,,0.11,B,46.0,Declined
Unknown,12.09,6000.0,Debt Consolidation,10.0,9,31,82656,Good,Yes,0.07,D,114.0,Approved
Mortgage,6.99,6000.0,Personal,7.0,12,36,77000,Excellent,No,0.08,B,145.0,Approved
Renter,12.18,2400.0,Health,3.0,4,22,45000,Very Good,No,0.05,C,58.0,Approved
Renter,11.48,3000.0,Health,2.0,7,35,52000,Very Good,No,0.06,C,,Approved
Owner,,13000.0,Business,3.0,3,24,67000,Good,,0.19,A,47.0,Approved
Renter,11.99,1800.0,Business,2.0,13,40,19200,Very Good,No,0.09,C,167.0,Approved
Mortgage,,11500.0,Study,11.0,11,43,50000,Excellent,No,0.23,B,136.0,Approved
Mortgage,13.49,12000.0,Personal,0.0,3,24,47000,Good,Yes,0.26,B,,Approved
Renter,15.65,10800.0,Health,2.0,4,25,62165,Fair,Yes,0.15,C,,Declined
Mortgage,,6000.0,Business,4.0,4,22,84600,Excellent,No,0.07,B,55.0,Approved
Renter,10.65,30000.0,Health,7.0,2,23,72250,Very Good,No,0.35,C,30.0,Declined
Mortgage,12.69,5500.0,Study,4.0,3,22,96000,Very Good,No,0.06,B,47.0,Approved
Mortgage,7.49,14000.0,Study,,2,22,60000,Excellent,No,0.23,B,32.0,Declined
Renter,10.36,25000.0,Debt Consolidation,9.0,2,25,75000,Very Good,No,0.33,C,,Declined
Mortgage,10.99,20000.0,Health,5.0,7,29,82000,Very Good,No,0.24,B,94.0,Approved
Renter,13.49,15000.0,Health,0.0,5,28,80000,Good,No,0.19,C,66.0,Approved
Mortgage,,30000.0,Debt Consolidation,7.0,2,26,175000,Very Good,No,0.17,B,25.0,Approved
Unknown,12.21,16000.0,Business,0.0,4,23,58000,Very Good,,0.28,D,50.0,Approved
Mortgage,5.99,10000.0,Health,8.0,2,24,45336,Excellent,No,0.22,B,,Approved
Mortgage,7.88,7200.0,Personal,3.0,7,29,60000,Excellent,,0.12,B,91.0,Approved
Mortgage,,6300.0,Debt Consolidation,3.0,2,26,37820,Excellent,No,0.17,B,33.0,Approved
Mortgage,9.99,5000.0,Business,1.0,3,21,51800,Very Good,No,0.1,B,46.0,Approved
Renter,7.51,10750.0,Debt Consolidation,4.0,10,29,28800,Excellent,No,0.37,C,129.0,Declined
Renter,11.48,15000.0,Debt Consolidation,2.0,5,28,80000,Very Good,No,0.19,C,65.0,Approved
Renter,,5000.0,Study,3.0,5,28,38400,Good,No,0.13,C,66.0,Approved
Renter,7.51,12000.0,Personal,0.0,3,21,60000,Excellent,No,0.2,C,46.0,Approved
Renter,8.49,15000.0,Personal,7.0,3,23,83600,Excellent,No,0.18,C,42.0,Declined
Owner,,3000.0,Health,11.0,4,26,64800,Excellent,No,0.05,A,58.0,Approved
Owner,7.51,3000.0,Personal,3.0,2,25,50600,Excellent,No,0.06,A,29.0,Approved
Renter,,12000.0,Health,3.0,3,22,58000,Very Good,No,0.21,C,38.0,Declined
Renter,12.53,2400.0,Business,3.0,3,25,35000,Very Good,No,0.07,C,44.0,Approved
Renter,12.68,6000.0,Debt Consolidation,1.0,4,22,36000,Good,No,0.17,C,54.0,Approved
Mortgage,7.29,13000.0,Health,8.0,2,24,60000,Excellent,No,0.22,B,28.0,Approved
Renter,7.51,10000.0,Personal,5.0,3,24,100000,Excellent,No,0.1,C,44.0,Approved
Mortgage,12.73,25000.0,Personal,5.0,6,27,110004,Good,Yes,0.23,B,83.0,Approved
Renter,,373293253.125,Health,9.0,4,26,71000,Very Good,No,0.04,C,58.0,Approved
Renter,7.14,2500.0,Health,2.0,9,32,39400,Excellent,No,0.06,C,111.0,Approved
Renter,10.36,5000.0,Health,3.0,3,25,35000,Very Good,No,0.14,C,40.0,Approved
