residential_status,loan_rate,loan_amount,loan_purpose,loan_approval_status,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months
Mortgage,7.51,12000,Debt Consolidation,Approved,13.0,7,29,350000,Excellent,No,0.03,B,91
Renter,10.37,11425,Business,Approved,3.0,3,23,107806,Very Good,No,0.11,C,44
Renter,,5000,Health,Approved,4.0,9,30,46044,Very Good,No,0.11,C,119
Renter,5.42,5000,Study,Approved,2.0,15,47,28500,Excellent,No,0.18,C,183
Renter,12.21,3000,Home Improvement,Declined,4.0,4,25,30000,Very Good,No,0.1,C,52
Renter,8.32,12000,Business,Approved,6.0,4,22,54996,Excellent,No,0.22,C,57
Renter,,11100,Debt Consolidation,Declined,6.0,9,27,39000,Good,Yes,0.28,C,118
Renter,10.25,6000,Health,Approved,6.0,5,30,55840,Very Good,No,0.11,C,71
Mortgage,12.18,24250,Business,Approved,3.0,4,22,130000,Very Good,No,0.19,B,50
Mortgage,6.17,17500,Debt Consolidation,Approved,16.0,6,34,41600,Excellent,No,0.42,B,76
Mortgage,13.49,6600,Health,Approved,0.0,9,30,37200,Good,No,0.18,B,113
Mortgage,17.04,20000,Home Improvement,Declined,2.0,3,25,62000,Poor,No,0.32,B,39
Mortgage,6.62,3600,Business,Approved,8.0,17,37,88824,Excellent,No,0.04,B,215
Renter,10.38,4500,Personal,Declined,2.0,3,21,18000,Very Good,No,0.25,C,46
Owner,8.94,10000,Health,Approved,8.0,8,35,762000,Excellent,No,0.01,A,99
Renter,,2000,Health,Approved,2.0,5,33,57500,Very Good,No,0.03,C,61
Mortgage,7.9,20000,Business,Approved,4.0,3,24,90000,Excellent,No,0.22,B,38
Mortgage,11.34,9000,Personal,Approved,7.0,3,23,132000,Good,Yes,0.07,B,37
Renter,10.99,9000,Health,Approved,5.0,10,27,48000,Very Good,No,0.19,C,129
Renter,5.99,5500,Business,Declined,2.0,8,27,15085,Excellent,No,0.36,C,102
Renter,7.66,2000,Business,Approved,2.0,3,25,44000,Excellent,No,0.05,C,44
Mortgage,11.11,15000,Home Improvement,Approved,14.0,9,29,90000,Very Good,No,0.17,B,117
Renter,10.65,2800,Health,Declined,11.0,7,27,15600,Very Good,No,0.18,C,89
Mortgage,15.95,16000,Business,Approved,12.0,5,28,72000,Poor,No,0.22,B,67
Mortgage,9.62,25000,Business,Approved,8.0,2,24,70000,Very Good,No,0.36,B,34
Mortgage,16.4,16800,Debt Consolidation,Declined,0.0,4,26,74000,Poor,Yes,0.23,B,49
Mortgage,5.42,10000,Business,Approved,13.0,15,36,115000,Excellent,No,0.09,B,190
Renter,6.17,6000,Health,Approved,4.0,4,26,70000,Excellent,No,0.09,C,51
Renter,9.63,9000,Study,Declined,5.0,7,27,73004,Excellent,No,0.12,C,86
Renter,,10700,Home Improvement,Declined,7.0,2,25,54000,Good,Yes,0.2,C,35
Mortgage,11.58,15000,Business,Approved,7.0,3,23,69000,Very Good,No,0.22,B,43
Mortgage,12.21,11000,Health,Approved,1.0,8,34,72960,Very Good,No,0.15,B,101
Mortgage,9.32,4000,Debt Consolidation,Approved,0.0,9,27,75852,Excellent,No,0.05,B,117
Renter,9.32,6400,Study,Approved,0.0,4,22,31224,Excellent,No,0.2,C,52
Renter,7.88,8400,Debt Consolidation,Approved,0.0,9,32,42000,Excellent,No,0.2,C,119
Mortgage,19.04,7500,Health,Declined,5.0,12,40,62540,Very Poor,Yes,0.1,B,150
Renter,7.74,2000,Study,Declined,0.0,4,23,12000,Excellent,No,0.17,C,57
Renter,13.48,2200,Personal,Declined,,10,29,15000,Good,No,0.15,C,129
Owner,11.34,7500,Business,Approved,4.0,9,27,35000,Good,No,0.21,A,109
Mortgage,12.18,4000,Study,Approved,1.0,2,25,66420,Very Good,No,0.06,B,32
Renter,9.99,4000,Debt Consolidation,Approved,2.0,17,42,26280,Very Good,No,0.15,C,211
Mortgage,16.77,5000,Personal,Approved,5.0,3,23,82000,Fair,Yes,0.06,B,43
Mortgage,6.62,9600,Personal,Approved,4.0,3,26,54000,Excellent,No,0.18,B,45
Mortgage,11.36,13750,Study,Approved,3.0,4,21,42000,Very Good,No,0.33,B,56
Mortgage,11.36,6000,Personal,Approved,6.0,6,32,62000,Very Good,No,0.1,B,74
Renter,10.74,12000,Home Improvement,Approved,0.0,9,31,150000,Very Good,No,0.08,C,118
Renter,6.62,2000,Personal,Approved,2.0,14,43,85000,Excellent,No,0.02,C,177
Mortgage,15.62,17300,Study,Approved,6.0,4,22,56400,Fair,No,0.31,B,54
Owner,14.65,3825,Business,Approved,,4,23,21000,Good,No,0.18,A,57
Renter,,2400,Health,Approved,5.0,6,29,45000,Good,No,0.05,C,74
Mortgage,15.23,8000,Business,Approved,6.0,4,22,52500,Good,Yes,0.15,B,51
Renter,13.79,6200,Study,Approved,7.0,3,22,45000,Good,No,0.14,C,43
Renter,,3600,Personal,Declined,1.0,3,25,54000,Excellent,No,0.07,C,45
Renter,9.91,3200,Personal,Approved,9.0,2,26,61200,Very Good,No,0.05,C,34
Mortgage,8.49,12000,Personal,Approved,7.0,3,23,140000,Excellent,No,0.09,B,43
Mortgage,7.49,5000,Health,Declined,1.0,3,23,46500,Excellent,No,0.11,B,44
Renter,9.99,10000,Study,Approved,0.0,2,22,140000,Very Good,No,0.07,C,26
Mortgage,6.76,2100,Health,Approved,10.0,5,27,73400,Excellent,No,0.03,B,66
Renter,7.49,2800,Health,Approved,4.0,5,27,48000,Excellent,No,0.06,C,61
Renter,16.49,7500,Business,Approved,13.0,7,28,51000,Fair,Yes,0.15,C,95
Renter,7.66,6950,Personal,Declined,2.0,13,37,14400,Excellent,No,0.48,C,167
Renter,11.11,3500,Personal,Approved,,5,30,25000,Very Good,No,0.14,C,68
Renter,14.72,8000,Debt Consolidation,Approved,2.0,2,23,65000,Good,Yes,0.12,C,27
Mortgage,16.77,20000,Home Improvement,Approved,3.0,5,30,65000,Fair,Yes,0.31,B,64
Renter,9.99,4500,Study,Approved,7.0,10,31,36000,Very Good,No,0.13,C,126
Renter,7.88,22000,Debt Consolidation,Approved,3.0,4,23,99996,Excellent,No,0.22,C,53
Mortgage,10.75,14500,Debt Consolidation,Declined,0.0,7,30,39760,Very Good,No,0.36,B,90
Mortgage,11.36,25000,Personal,Approved,2.0,9,32,90000,Very Good,No,0.28,B,117
Owner,6.76,2500,Health,Approved,13.0,5,29,42000,Excellent,No,0.06,A,68
Renter,14.09,4400,Home Improvement,Declined,0.0,14,38,24000,Fair,No,0.18,C,173
Mortgage,11.49,2100,Study,Approved,7.0,3,23,54996,Very Good,No,0.04,B,37
Renter,14.84,24000,Study,Declined,3.0,2,22,62400,Fair,No,0.38,C,28
Renter,13.72,6250,Debt Consolidation,Approved,3.0,3,25,24000,Good,Yes,0.26,C,43
Mortgage,6.91,5000,Business,Approved,7.0,2,23,110000,Excellent,No,0.05,B,25
Mortgage,13.22,7550,Home Improvement,Declined,5.0,4,21,30297,Good,Yes,0.25,B,56
Owner,11.83,5000,Personal,Approved,2.0,4,26,88900,Very Good,No,0.06,A,55
Renter,9.32,10000,Debt Consolidation,Declined,0.0,7,28,30000,Excellent,No,0.33,C,86
Mortgage,13.72,9000,Debt Consolidation,Declined,5.0,9,28,63000,Good,Yes,0.14,B,118
Mortgage,7.14,8000,Study,Approved,7.0,4,25,110000,Excellent,No,0.07,B,50
Renter,7.51,2500,Study,Approved,0.0,4,22,24960,Excellent,No,0.1,C,58
Owner,15.99,7800,Home Improvement,Approved,,10,27,50000,Fair,No,0.16,A,121
Mortgage,13.43,11000,Home Improvement,Approved,4.0,6,29,71000,Good,Yes,0.15,B,74
Renter,7.51,10000,Home Improvement,Approved,5.0,4,24,97850,Excellent,No,0.1,C,55
Renter,14.26,5000,Health,Approved,1.0,2,26,40000,Good,Yes,0.13,C,31
Renter,9.64,20000,Study,Declined,0.0,16,36,84000,Very Good,No,0.24,C,197
Renter,8.9,5750,Health,Declined,3.0,2,21,17000,Excellent,No,0.34,C,25
Renter,10.25,6000,Study,Approved,2.0,4,21,62000,Very Good,No,0.1,C,49
Owner,9.99,7200,Home Improvement,Approved,0.0,8,31,42000,Very Good,No,0.17,A,106
Owner,6.62,1325,Personal,Approved,8.0,2,24,39456,Excellent,No,0.03,A,26
Mortgage,10.65,3950,Debt Consolidation,Approved,6.0,4,22,60000,Very Good,No,0.07,B,56
Mortgage,9.63,8000,Home Improvement,Approved,5.0,13,41,92000,Very Good,No,0.09,B,166
Renter,5.79,7000,Study,Approved,6.0,3,22,64000,Excellent,No,0.11,C,44
Mortgage,7.51,5000,Study,Approved,2.0,11,44,55000,Excellent,No,0.09,B,136
Renter,15.28,3200,Personal,Declined,3.0,2,22,18996,Fair,No,0.17,C,28
Mortgage,7.51,18000,Study,Approved,0.0,3,24,80000,Excellent,No,0.23,B,39
Mortgage,6.54,5000,Study,Approved,,4,22,60000,Excellent,No,0.08,B,52
Renter,13.72,2500,Health,Approved,2.0,5,31,95000,Good,No,0.03,C,67
Mortgage,12.99,2650,Business,Approved,6.0,3,22,52000,Good,Yes,0.05,B,46
Mortgage,16.95,9000,Study,Declined,11.0,8,28,225000,Poor,Yes,0.04,B,101
Renter,,1450,Health,Approved,2.0,9,27,24000,Excellent,No,0.06,C,109
Mortgage,10.99,10000,Personal,Approved,10.0,6,32,135000,Very Good,No,0.07,B,82
Renter,7.49,10000,Personal,Approved,5.0,2,25,90000,Excellent,No,0.11,C,29
Renter,12.99,10175,Business,Declined,3.0,6,27,146000,Good,No,0.07,C,77
Renter,14.22,2000,Health,Approved,4.0,4,25,30000,Good,Yes,0.07,C,51
Renter,9.32,8800,Business,Declined,2.0,4,22,23800,Excellent,No,0.37,C,59
Renter,14.96,7500,Health,Declined,3.0,2,22,66300,Fair,No,0.1,C,29
Mortgage,5.79,7350,Debt Consolidation,Approved,9.0,4,25,85000,Excellent,No,0.09,B,53
Renter,,15000,Business,Approved,4.0,12,37,528000,Fair,No,0.03,C,154
Renter,12.53,9250,Debt Consolidation,Declined,0.0,3,21,13000,Good,No,0.71,C,47
Mortgage,15.62,6000,Debt Consolidation,Declined,10.0,4,26,71000,Fair,No,0.08,B,51
Mortgage,10.65,6000,Business,Approved,5.0,12,45,126000,Very Good,No,0.05,B,149
Renter,14.27,8800,Personal,Approved,4.0,7,35,46000,Good,No,0.19,C,93
Owner,9.33,8800,Health,Approved,0.0,3,21,25000,Very Good,No,0.35,A,38
Renter,18.25,1200,Study,Declined,4.0,4,23,20400,Fair,No,0.06,C,58
Owner,16.49,15000,Business,Approved,7.0,2,22,60000,Fair,Yes,0.25,A,30
Renter,11.36,6500,Study,Approved,0.0,2,24,24000,Very Good,No,0.27,C,35
Renter,16.89,10000,Study,Declined,1.0,4,23,42720,Fair,Yes,0.23,C,55
Renter,10.39,4000,Health,Approved,6.0,9,27,30000,Very Good,No,0.13,C,116
Owner,13.57,25000,Business,Approved,0.0,9,31,86500,Good,No,0.29,A,115
Mortgage,6.62,16000,Business,Approved,3.0,2,24,75000,Excellent,No,0.21,B,33
Renter,10.71,1500,Debt Consolidation,Approved,3.0,2,23,42000,Very Good,No,0.04,C,31
Renter,,7200,Debt Consolidation,Approved,5.0,3,25,46000,Good,Yes,0.16,C,44
Mortgage,7.49,3000,Debt Consolidation,Approved,9.0,4,25,77000,Excellent,No,0.04,B,57
Renter,10.65,10000,Debt Consolidation,Approved,11.0,5,30,40000,Very Good,No,0.25,C,61
Renter,9.64,6400,Personal,Approved,1.0,12,37,60000,Very Good,No,0.11,C,146
Owner,11.58,13000,Business,Approved,0.0,9,28,41600,Very Good,No,0.31,A,110
Mortgage,12.69,5200,Study,Approved,13.0,9,30,55684,Very Good,No,0.09,B,113
Renter,10.99,24000,Personal,Approved,8.0,2,25,135000,Very Good,No,0.18,C,26
Renter,5.99,3500,Health,Approved,0.0,2,24,30000,Excellent,No,0.12,C,32
Renter,14.96,5000,Home Improvement,Declined,2.0,2,24,33996,Fair,No,0.15,C,25
Renter,11.99,8550,Health,Approved,3.0,2,22,42000,Very Good,No,0.2,C,25
Renter,10.99,22000,Business,Approved,2.0,13,40,167000,Very Good,No,0.13,C,161
Mortgage,7.74,3000,Debt Consolidation,Approved,11.0,10,34,111996,Excellent,No,0.03,B,130
Mortgage,8.49,15000,Personal,Approved,15.0,7,31,152000,Excellent,No,0.1,B,86
Renter,13.79,10000,Health,Declined,4.0,14,37,32000,Good,No,0.31,C,172
Mortgage,5.99,4000,Debt Consolidation,Approved,3.0,4,21,36000,Excellent,No,0.11,B,55
Owner,7.29,8000,Business,Approved,3.0,3,23,32800,Excellent,No,0.24,A,40
Renter,7.4,4000,Health,Approved,7.0,2,22,50000,Excellent,No,0.08,C,27
Renter,7.49,4500,Business,Approved,11.0,5,27,36000,Excellent,No,0.13,C,70
Mortgage,6.62,7500,Health,Approved,9.0,13,47,47000,Excellent,No,0.16,B,158
Mortgage,,9000,Debt Consolidation,Declined,7.0,3,23,76000,Fair,Yes,0.12,B,44
Renter,7.51,10000,Business,Approved,7.0,4,23,38000,Excellent,No,0.26,C,50
Owner,6.17,3000,Health,Approved,9.0,4,25,45000,Excellent,No,0.07,A,53
Renter,7.9,3700,Study,Approved,3.0,9,28,94000,Excellent,No,0.04,C,114
Mortgage,10.65,21000,Debt Consolidation,Approved,6.0,3,24,53004,Very Good,No,0.4,B,46
Mortgage,5.99,7000,Debt Consolidation,Approved,10.0,5,27,120000,Excellent,No,0.06,B,67
Mortgage,12.18,17500,Debt Consolidation,Approved,12.0,15,44,48000,Very Good,No,0.36,B,187
Mortgage,8.59,8525,Health,Approved,9.0,4,24,54000,Excellent,No,0.16,B,52
Mortgage,13.16,15000,Personal,Declined,4.0,3,25,70000,Good,Yes,0.21,B,38
Mortgage,13.06,1500,Business,Approved,18.0,13,41,35000,Good,No,0.04,B,167
Renter,7.43,7000,Business,Approved,0.0,13,41,43000,Excellent,No,0.16,C,166
Mortgage,7.51,4800,Home Improvement,Approved,2.0,5,31,36000,Excellent,No,0.13,B,67
Renter,7.9,7200,Study,Declined,3.0,3,23,62000,Excellent,No,0.12,C,47
Renter,,7500,Study,Approved,2.0,4,23,116700,Good,No,0.06,C,59
Renter,13.72,5100,Debt Consolidation,Approved,6.0,5,35,40000,Good,Yes,0.13,C,61
Mortgage,9.62,5100,Home Improvement,Approved,5.0,4,25,54000,Very Good,No,0.09,B,49
Renter,9.99,2800,Debt Consolidation,Declined,0.0,4,23,10560,Very Good,No,0.27,C,58
Renter,13.61,4500,Business,Approved,3.0,8,29,74100,Good,Yes,0.06,C,105
Mortgage,15.95,10000,Business,Approved,3.0,5,32,35100,Fair,Yes,0.28,B,62
Renter,13.99,6000,Business,Approved,5.0,9,28,32004,Good,No,0.19,C,112
Owner,8.9,8000,Personal,Declined,3.0,8,27,19200,Excellent,No,0.42,A,100
Mortgage,15.62,16800,Study,Approved,0.0,4,22,120000,Fair,No,0.14,B,55
Mortgage,5.79,1225,Personal,Approved,,10,32,42000,Excellent,No,0.03,B,129
Owner,12.87,6000,Study,Approved,8.0,2,23,48000,Good,Yes,0.13,A,25
Owner,15.27,10000,Personal,Approved,1.0,6,35,53000,Good,Yes,0.19,A,77
Mortgage,11.83,5000,Business,Approved,0.0,4,25,96000,Very Good,No,0.05,B,50
Mortgage,12.84,25000,Study,Approved,8.0,2,24,104000,Good,No,0.24,B,27
Renter,5.42,5200,Personal,Approved,2.0,7,28,30000,Excellent,No,0.17,C,85
Renter,12.87,6000,Business,Approved,2.0,4,25,52000,Good,Yes,0.12,C,55
Renter,16.49,2500,Health,Declined,6.0,3,22,54400,Fair,Yes,0.04,C,38
Mortgage,12.99,35000,Home Improvement,Approved,6.0,9,27,165000,Good,No,0.21,B,109
Renter,16.29,10000,Personal,Approved,4.0,15,39,45500,Fair,No,0.22,C,184
Renter,17.8,24000,Home Improvement,Declined,3.0,8,29,338000,Very Poor,No,0.07,C,106
Renter,5.99,4500,Debt Consolidation,Approved,0.0,3,25,43738,Excellent,No,0.1,C,41
Renter,,6000,Study,Approved,4.0,2,26,40000,Very Good,No,0.15,C,26
Mortgage,6.17,5875,Health,Approved,0.0,3,22,77237,Excellent,No,0.08,B,38
Owner,16.45,6500,Debt Consolidation,Declined,13.0,6,28,54000,Poor,Yes,0.12,A,74
Renter,13.8,5600,Study,Approved,7.0,3,23,40000,Good,No,0.14,C,37
Renter,10.62,8500,Debt Consolidation,Approved,1.0,2,21,29760,Very Good,No,0.29,C,32
Renter,12.69,7000,Debt Consolidation,Approved,8.0,6,31,49000,Very Good,No,0.14,C,82
Mortgage,16.45,20000,Business,Approved,10.0,8,32,75000,Poor,Yes,0.27,B,99
Renter,12.99,22400,Study,Declined,3.0,7,35,68231,Good,Yes,0.33,C,95
Mortgage,9.91,5000,Health,Approved,3.0,14,46,55000,Very Good,No,0.09,B,177
Mortgage,15.65,10000,Personal,Approved,4.0,3,24,61000,Fair,No,0.16,B,42
Mortgage,10.65,2800,Debt Consolidation,Approved,2.0,14,40,90000,Very Good,No,0.03,B,171
Renter,15.62,10000,Study,Declined,1.0,13,44,59000,Fair,No,0.17,C,160
Renter,7.51,7500,Debt Consolidation,Approved,0.0,16,37,95000,Excellent,No,0.08,C,201
Mortgage,7.51,13500,Personal,Approved,13.0,7,29,60000,Excellent,No,0.23,B,86
Mortgage,10.99,15000,Health,Approved,2.0,5,35,38000,Very Good,No,0.39,B,67
Renter,13.11,11800,Debt Consolidation,Approved,5.0,3,26,76000,Good,Yes,0.16,C,43
Renter,12.42,10000,Personal,Approved,3.0,2,24,65000,Very Good,No,0.15,C,28
Mortgage,7.29,12000,Study,Approved,0.0,6,27,115000,Excellent,No,0.1,B,82
Renter,13.72,19000,Study,Declined,14.0,7,30,35576,Good,No,0.53,C,85
Mortgage,10.36,4000,Business,Approved,17.0,6,33,79112,Very Good,No,0.05,B,82
Mortgage,16.49,8400,Study,Approved,12.0,7,27,66000,Fair,Yes,0.13,B,86
Renter,9.63,6800,Study,Approved,8.0,3,25,28800,Very Good,No,0.24,C,40
Renter,11.97,9000,Debt Consolidation,Approved,2.0,9,27,57500,Good,Yes,0.16,C,117
Renter,10.37,6400,Business,Declined,,5,29,18000,Very Good,No,0.36,C,70
Renter,,6000,Health,Approved,2.0,3,24,40000,Very Good,No,0.15,C,38
Renter,6.54,12000,Study,Approved,8.0,3,24,115000,Excellent,No,0.1,C,39
Renter,11.71,10625,Business,Declined,0.0,3,26,30000,Very Good,No,0.35,C,43
Mortgage,7.51,8500,Debt Consolidation,Approved,5.0,2,22,66000,Excellent,No,0.13,B,33
Renter,7.9,7000,Study,Declined,4.0,9,35,33000,Excellent,No,0.21,C,113
Mortgage,12.73,25000,Study,Approved,7.0,14,41,110004,Good,Yes,0.23,B,177
Owner,8.49,3000,Health,Approved,0.0,9,34,26000,Excellent,No,0.12,A,116
Renter,16.82,10000,Debt Consolidation,Declined,0.0,18,64,56000,Poor,Yes,0.18,C,226
Mortgage,7.51,5000,Health,Approved,2.0,7,33,110000,Excellent,No,0.05,B,85
Mortgage,6.03,5000,Study,Approved,13.0,16,47,95000,Excellent,No,0.05,B,196
Renter,14.83,19000,Study,Declined,6.0,10,31,51500,Fair,Yes,0.37,C,128
Renter,11.49,2000,Debt Consolidation,Approved,3.0,5,28,42000,Very Good,No,0.05,C,62
Renter,8.94,14400,Business,Declined,15.0,7,31,38000,Excellent,No,0.38,C,95
Mortgage,15.28,25000,Study,Approved,8.0,10,29,174996,Fair,Yes,0.14,B,121
Mortgage,11.48,10000,Debt Consolidation,Approved,9.0,10,29,75000,Very Good,No,0.13,B,127
Renter,17.49,5500,Business,Approved,7.0,3,23,62000,Fair,No,0.09,C,43
Owner,9.32,3700,Health,Declined,3.0,5,35,15000,Excellent,No,0.25,A,66
Mortgage,12.23,10750,Debt Consolidation,Approved,3.0,8,35,78750,Good,No,0.14,B,107
Mortgage,,14000,Business,Approved,1.0,7,27,225000,Very Good,No,0.06,B,90
Renter,16.32,3250,Debt Consolidation,Declined,5.0,7,33,18996,Fair,No,0.17,C,88
Mortgage,15.23,8150,Study,Approved,14.0,10,34,41979,Good,No,0.19,B,131
Mortgage,6.99,5050,Debt Consolidation,Approved,9.0,16,43,72000,Excellent,No,0.07,B,201
Renter,,21000,Personal,Declined,2.0,9,28,71250,Very Poor,Yes,0.29,C,113
Renter,,24000,Home Improvement,Approved,2.0,10,28,206000,Good,No,0.12,C,130
Mortgage,6.03,15000,Personal,Approved,5.0,3,23,90000,Excellent,No,0.17,B,42
Renter,6.62,5575,Personal,Approved,5.0,4,25,28800,Excellent,No,0.19,C,54
Mortgage,12.53,11400,Study,Approved,6.0,3,22,57000,Very Good,No,0.2,B,38
Mortgage,13.48,7000,Business,Approved,3.0,2,23,50000,Good,Yes,0.14,B,34
Renter,14.96,25000,Home Improvement,Declined,2.0,3,22,56400,Fair,Yes,0.44,C,43
Renter,9.99,11450,Study,Declined,1.0,6,32,30000,Very Good,No,0.38,C,74
Renter,15.05,20000,Home Improvement,Declined,6.0,4,23,76042,Fair,Yes,0.26,C,51
Mortgage,7.66,2000,Personal,Approved,8.0,2,24,46000,Excellent,No,0.04,B,35
Renter,15.7,16000,Debt Consolidation,Declined,8.0,5,30,64000,Fair,Yes,0.25,C,71
Renter,7.9,5000,Personal,Declined,,5,28,34000,Excellent,No,0.15,C,63
Mortgage,10.65,22000,Business,Approved,7.0,2,23,80000,Very Good,No,0.28,B,35
Renter,7.51,6400,Health,Approved,5.0,8,33,58000,Excellent,No,0.11,C,98
Mortgage,,20000,Personal,Approved,2.0,6,29,36000,Fair,No,0.56,B,78
Mortgage,13.22,3000,Debt Consolidation,Approved,3.0,4,23,36000,Good,No,0.08,B,58
Renter,11.03,5600,Health,Approved,0.0,4,23,50000,Good,Yes,0.11,C,53
Mortgage,5.99,12500,Home Improvement,Approved,5.0,2,26,75000,Excellent,No,0.17,B,32
Renter,13.35,9000,Study,Approved,7.0,3,23,56000,Good,No,0.16,C,45
Renter,13.35,10000,Personal,Approved,1.0,4,24,54000,Good,No,0.19,C,57
Renter,6.54,20000,Study,Approved,9.0,4,25,140000,Excellent,No,0.14,C,54
Mortgage,6.03,15000,Study,Approved,2.0,3,23,117696,Excellent,No,0.13,B,46
Mortgage,11.83,20000,Home Improvement,Approved,1.0,5,29,84000,Very Good,No,0.24,B,69
Renter,11.48,5075,Personal,Declined,0.0,11,36,20000,Very Good,No,0.25,C,139
Mortgage,12.53,25000,Business,Approved,4.0,4,25,115000,Good,Yes,0.22,B,57
Mortgage,,20000,Home Improvement,Approved,7.0,5,27,125000,Fair,Yes,0.16,B,62
Renter,10.36,25000,Study,Approved,4.0,3,23,150000,Very Good,No,0.17,C,44
Mortgage,,25000,Health,Approved,9.0,7,28,145000,Very Good,No,0.17,B,94
Renter,5.79,7000,Debt Consolidation,Approved,4.0,3,23,60000,Excellent,No,0.12,C,41
Mortgage,7.49,8000,Debt Consolidation,Approved,13.0,8,29,112992,Excellent,No,0.07,B,107
Mortgage,6.03,15600,Debt Consolidation,Approved,9.0,9,28,73000,Excellent,No,0.21,B,113
Renter,11.83,7000,Debt Consolidation,Approved,0.0,2,24,65000,Very Good,No,0.11,C,30
Mortgage,10.99,12000,Debt Consolidation,Approved,9.0,3,25,154000,Very Good,No,0.08,B,47
Mortgage,11.36,10500,Business,Approved,3.0,4,24,40000,Very Good,No,0.26,B,59
Mortgage,10.36,9500,Business,Approved,1.0,6,35,38400,Very Good,No,0.25,B,82
Renter,10.37,2750,Debt Consolidation,Approved,3.0,5,30,57120,Very Good,No,0.05,C,66
Mortgage,,10000,Personal,Approved,14.0,12,45,125000,Very Good,No,0.08,B,149
Renter,7.14,1800,Health,Approved,0.0,2,24,35000,Excellent,No,0.05,C,28
Mortgage,13.06,10000,Personal,Approved,7.0,4,23,114600,Good,Yes,0.09,B,53
Mortgage,,25000,Study,Approved,7.0,3,22,101000,Fair,Yes,0.25,B,39
Renter,10.33,6600,Health,Approved,6.0,2,22,30004,Very Good,No,0.22,C,35
Owner,8.32,6400,Business,Approved,0.0,3,23,40000,Excellent,No,0.16,A,47
Mortgage,10.78,2500,Debt Consolidation,Approved,0.0,6,30,107000,Good,Yes,0.02,B,83
Renter,13.48,5000,Business,Approved,3.0,4,26,55000,Good,Yes,0.09,C,55
Mortgage,11.99,3000,Personal,Approved,4.0,10,28,48000,Very Good,No,0.06,B,123
Mortgage,6.17,1500,Business,Approved,2.0,3,23,42000,Excellent,No,0.04,B,42
Renter,6.99,10625,Debt Consolidation,Declined,9.0,4,25,30000,Excellent,No,0.35,C,59
Mortgage,7.51,2000,Health,Approved,5.0,9,27,55596,Excellent,No,0.04,B,109
Mortgage,6.39,4000,Health,Approved,7.0,8,28,70000,Excellent,No,0.06,B,107
Renter,11.71,6400,Home Improvement,Approved,5.0,11,43,80000,Very Good,No,0.08,C,143
Renter,6.99,14400,Debt Consolidation,Declined,2.0,10,30,43000,Excellent,No,0.33,C,121
Renter,7.88,5200,Health,Approved,1.0,3,23,38000,Excellent,No,0.14,C,40
Renter,8.32,3000,Study,Approved,3.0,2,24,25000,Excellent,No,0.12,C,30
Renter,12.72,4000,Study,Approved,0.0,2,23,38850,Good,Yes,0.1,C,30
Renter,10.36,1000,Home Improvement,Approved,0.0,3,26,96000,Very Good,No,0.01,C,44
Renter,11.36,21000,Business,Approved,20.0,12,36,80000,Very Good,No,0.26,C,145
Renter,10.37,12000,Home Improvement,Approved,5.0,6,27,50000,Very Good,No,0.24,C,82
Mortgage,7.9,8500,Study,Approved,,5,29,25000,Excellent,No,0.34,B,63
Renter,7.29,11000,Business,Approved,23.0,16,43,70000,Excellent,No,0.16,C,195
Renter,12.42,5000,Personal,Approved,4.0,7,28,48879,Very Good,No,0.1,C,93
Mortgage,7.68,3500,Health,Approved,10.0,4,26,63000,Excellent,No,0.06,B,58
Mortgage,8.9,4000,Business,Approved,3.0,2,23,62000,Excellent,No,0.06,B,35
Owner,6.92,15000,Home Improvement,Approved,10.0,2,26,51500,Excellent,No,0.29,A,26
Renter,10.59,12000,Business,Approved,19.0,11,38,40000,Very Good,No,0.3,C,142
Renter,9.88,14000,Home Improvement,Approved,2.0,2,24,50000,Very Good,No,0.28,C,32
Mortgage,7.66,5000,Study,Approved,6.0,2,26,75000,Excellent,No,0.07,B,34
Renter,,8000,Health,Approved,5.0,2,24,28800,Excellent,No,0.28,C,27
Mortgage,,2000,Personal,Approved,0.0,2,23,55000,Excellent,No,0.04,B,31
Renter,14.79,6000,Home Improvement,Approved,1.0,9,29,60000,Good,No,0.1,C,117
Mortgage,6.92,6000,Personal,Approved,18.0,10,34,195000,Excellent,No,0.03,B,124
Mortgage,13.49,12000,Home Improvement,Approved,10.0,2,26,40000,Good,No,0.3,B,28
Mortgage,6.03,14000,Personal,Approved,3.0,8,33,115000,Excellent,No,0.12,B,105
Renter,12.69,10000,Study,Approved,4.0,4,22,70000,Very Good,No,0.14,C,52
Mortgage,5.99,6000,Debt Consolidation,Approved,9.0,8,29,134000,Excellent,No,0.04,B,104
Mortgage,6.54,3800,Home Improvement,Approved,10.0,2,26,88000,Excellent,No,0.04,B,26
Renter,15.27,15000,Business,Approved,6.0,2,25,185000,Good,No,0.08,C,28
Mortgage,12.21,8000,Personal,Approved,2.0,14,38,72000,Very Good,No,0.11,B,177
Renter,10.25,24000,Health,Approved,2.0,2,24,80000,Very Good,No,0.3,C,35
Mortgage,12.73,25000,Personal,Approved,5.0,6,27,110004,Good,Yes,0.23,B,83
Mortgage,,4200,Study,Approved,0.0,2,21,38400,Excellent,No,0.11,B,27
Renter,8.0,3000,Study,Approved,0.0,3,24,23000,Excellent,No,0.13,C,44
